ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
282549031,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Jamie,1/11/2014,2014,1,11,0,Zambia,ZM-07,Southern,,Bruce Miller Farm,-16.6414279,27.0128059,,,Unspecified,,,,,,,,,S76647781,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
282547731,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Jamie,1/22/2014,2014,1,22,0,Zambia,ZM-07,Southern,,Bruce Miller Farm,-16.6414279,27.0128059,,,Unspecified,,,,,,,,,S76647546,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
282274151,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Gabriel Jamie,9/13/2013,2013,9,13,0,Ghana,GH-WP,Western,,Ankasa NP,5.2947246,-2.5941467,,,Unspecified,,,,,,,,,S45698787,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
276078071,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter  Steward,10/13/2020,2020,10,13,1010,Kenya,KE-400,Eastern,,Meru (Imenti) Forest,0.0888862,37.6231956,Adult – 1,Song,Unspecified,,,,,,,,,S74769998,,,,Dwarf Mongoose making nasal call,,Chrysococcyx cupreus,afecuc1,Species,3271,,3,1,,,
279931,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,9/24/2019,2019,9,24,830,Zambia,ZM-06,North-Western,,Mavunda forest north of Nyundu,-12.635615,24.244945,,Song,Unspecified,,,,,Olympus LS-10,Telinga Stereo MK Microphone,"Telinga 22"" parabola",,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
278801,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,12/6/2017,2017,12,6,945,Zambia,ZM-07,Southern,,Mutulanganga area,-16.332507,28.720864,,Song,Unspecified,,,,,Olympus LS-10,Telinga Stereo MK Microphone,"Telinga 22"" parabola",,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
276509,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,12/10/2015,2015,12,10,1100,Ethiopia,ET-OR,Oromia,,BMNP--Harenna Forest--Magano Area,6.639222,39.7347672,,Song,Unspecified,,,,,Olympus LS-5,Telinga Stereo MK Microphone,"Telinga 22"" parabola",,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,4,1,,,
276508,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,12/10/2015,2015,12,10,1100,Ethiopia,ET-OR,Oromia,,BMNP--Harenna Forest--Magano Area,6.639222,39.7347672,,Song,Unspecified,,,,,Olympus LS-5,Telinga Stereo MK Microphone,"Telinga 22"" parabola",,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
275876,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Peter Boesman,11/1/2014,2014,11,1,900,South Africa,ZA-NL,Kwazulu-Natal,,Eshowe--Dlinza Forest,-28.8947327,31.4483643,,Song,Unspecified,,,,,Olympus LS-5,Telinga Stereo MK Microphone,"Telinga 22"" parabola",,,,,,,,Chrysococcyx cupreus,afecuc1,Species,3271,,0,0,,,
214385941,Audio,African Emerald Cuckoo,Chrysococcyx cupreus,,Andrew Spencer,1/2/2015,2015,1,2,710,Ethiopia,ET-OR,Oromia,,BMNP--Harenna Forest (please use more specific location),6.6037392,39.7366885,Adult Male – 1,Song,Not Used,,,,,,,,,S24918513,,,,natural vocalization; song from a bird perched at mid-height in dense growth along a road through humid primary forest.,,Chrysococcyx cupreus,afecuc1,Species,3271,,4.5,2,,,
